Folio Emetrix,REGIÓN,CIUDAD,ESTADO,GRUPO,CADENA,VOLT,Longitud,Latitud,Volt (burbuja),Folio más cercano,Distancia mín (km),Volt tienda cercana,Volt vs cercana,periodo
153688,SUR,OAXACA,OAXACA,CEDA,CEDA,271.5,-96.73356631,17.0561434,271.5,1924131,0.069122475,297.6,-26.1,13/07/2026-18/07/2026
153691,NORTE,JUÁREZ,NUEVO LEON,COMERCIAL TREVIÑO,COMERCIAL TREVIÑO,307.5,-100.1558432,25.6269004,307.5,153692,1.76548247,307.5,0,13/07/2026-18/07/2026
153692,NORTE,JUÁREZ,NUEVO LEON,COMERCIAL TREVIÑO,COMERCIAL TREVIÑO,307.5,-100.1729423,25.62310598,307.5,1923691,1.37391656,358.5,-51,13/07/2026-18/07/2026
153696,NORTE,MONTERREY,NUEVO LEON,CEDA,CEDA,250.8,-100.3799007,25.7744587,250.8,153698,0.347582023,285,-34.2,13/07/2026-18/07/2026
153697,NORTE,MONTERREY,NUEVO LEON,COMERCIAL TREVIÑO,COMERCIAL TREVIÑO,268.2,-100.38,25.73695,268.2,153696,4.170789001,250.8,17.4,13/07/2026-18/07/2026
153698,NORTE,MONTERREY,NUEVO LEON,HERMANOS PAEZ,HERMANOS PAEZ,285,-100.382747,25.776248,285,153696,0.347582023,250.8,34.2,13/07/2026-18/07/2026
153699,NORTE,MONTERREY,NUEVO LEON,CEDA,CEDA,300,-100.337834,25.723393,300,153697,4.48470806,268.2,31.8,13/07/2026-18/07/2026
153720,CENTRO,TULTITLAN,ESTADO DE MEXICO,CEDA,CEDA,300,-99.136095,19.638342,300,1923335,0.187889094,240,60,13/07/2026-18/07/2026
153721,CENTRO,TULTITLAN,ESTADO DE MEXICO,CEDA,CEDA,285,-99.137844,19.639762,285,1923336,0.037859053,270,15,13/07/2026-18/07/2026
153784,SUR,SAN FERNANDO,CHIAPAS,SUPER ABARROTES CASTILLEJOS CENTRO,SUPER ABARROTES CASTILLEJOS CENTRO,270,-93.1936275,16.8473938,270,1923455,2.891712597,270,0,13/07/2026-18/07/2026
